,alpha,beta,gamma,delta,recall-rate@10,recall-rate@20
0,0.9,0.85,0.3152632209444808,0.3,0.56,0.64
6,0.89224489848242,0.06873377408875414,0.29018552666225494,0.25926142291623255,0.53,0.62
21,0.811816233684316,0.5148074761195609,0.6061706468483592,0.32238021305618514,0.53,0.61
45,0.7891629157661638,0.038474892067438926,0.589050960879294,0.536606997157182,0.53,0.61
31,0.43404380850652025,0.035287812650751316,0.1363730376687059,0.11512512995707824,0.51,0.61
25,0.5668348406043899,0.8933947855936604,0.06194148032529134,0.3786160647296575,0.49,0.61
44,0.7863627064289164,0.7979802191024594,0.009245899907780353,0.36521476301697653,0.54,0.6
29,0.696245870926699,0.4977655649183449,0.41067426615146474,0.6403383454417961,0.53,0.6
27,0.971928150988476,0.6207986926557029,0.6777966569549456,0.822843599857311,0.52,0.6
2,0.9131232182599055,0.6626186950959558,0.8504374624743346,0.3789214863793281,0.51,0.6
35,0.5902412711545878,0.8268384398389828,0.33154778144562036,0.35938889976209343,0.51,0.6
1,0.9473208935274171,0.22912599466077455,0.2641151211466539,0.766301966395904,0.53,0.59
15,0.9164953691662145,0.0456455399645298,0.7163186801091764,0.6782185555823553,0.53,0.59
43,0.8214921996634995,0.15043799588363294,0.7134768467128906,0.3425891656087867,0.51,0.59
10,0.7045794326531583,0.7736729082252384,0.652205149090665,0.5122424939071827,0.5,0.59
19,0.3617599990847594,0.46906441852474445,0.2385088385325822,0.20147395561164005,0.5,0.59
37,0.808620149563449,0.007988716734123935,0.7438961322422858,0.5308436393232253,0.5,0.58
4,0.4617270281479975,0.8395850594049145,0.1316256940974051,0.5451471084401387,0.52,0.57
49,0.709096817680889,0.1684681010015071,0.1360490097014615,0.73967222609426,0.52,0.57
14,0.717556009123029,0.5160246388459945,0.025397181650834155,0.7248772567718509,0.51,0.57
47,0.45746870418924324,0.645148419756678,0.847472515047577,0.9558483068137796,0.5,0.57
13,0.7361360035676686,0.8659053358214447,0.804123660779261,0.7454817323446442,0.48,0.57
34,0.599082363253167,0.2700787301715045,0.41908501091535577,0.7735050386988463,0.52,0.56
7,0.44740154380260866,0.9633681207353837,0.005136440785178942,0.6505352745172288,0.51,0.56
22,0.4324405493107747,0.9977478850532293,0.07437283094907343,0.648675439467038,0.51,0.56
8,0.29603640917282514,0.7104256004430176,0.4369730754728296,0.7668016783372982,0.5,0.56
18,0.5152553446357561,0.8686805511229018,0.5739162179468066,0.5358934706979372,0.48,0.56
41,0.44298665245760127,0.735246771019516,0.25652364467694766,0.18158741747212692,0.45,0.56
24,0.33023779328871883,0.5461285577556827,0.259870273495607,0.6936400762897315,0.5,0.55
3,0.21034823600120345,0.9099223798947685,0.4459376378034323,0.5055219684257505,0.47,0.55
42,0.5341564107889686,0.8906310428912863,0.8551663786362708,0.4347189915070162,0.48,0.54
48,0.3635652247086313,0.3826103448714232,0.808154666875707,0.9949839187531256,0.48,0.54
50,0.28817333779707055,0.08312586281512013,0.3927372407711953,0.1588464641933055,0.47,0.54
39,0.11985965773785545,0.0715687347308005,0.30859731451906747,0.19981959338952482,0.46,0.54
11,0.5962296602271218,0.9329508966901029,0.5572136371847164,0.20220316616332412,0.44,0.54
46,0.32671437699731576,0.7428923557205249,0.4836955196485718,0.25420978617810663,0.48,0.53
12,0.6452090990835863,0.8380937290626287,0.40772681335640826,0.06051517613026702,0.43,0.53
20,0.5274423580107063,0.05469131115092596,0.8870460171635213,0.23158620367837102,0.44,0.52
17,0.05097559521322392,0.8123255272625481,0.666542915314772,0.3334302599033926,0.41,0.52
23,0.35763432832709197,0.7795974387558267,0.07611430152585297,0.9375502640954749,0.43,0.51
36,0.11981129574963967,0.23373061709475684,0.7486001879009707,0.3976043281376317,0.42,0.51
30,0.04708754240846724,0.8156725109939376,0.8248741433870184,0.9706842251546351,0.42,0.5
38,0.07406427234055302,0.041246915075470625,0.34758059661378704,0.13393154931875084,0.4,0.5
26,0.692936027188915,0.7408113158871623,0.33322863601598274,0.021028316491344956,0.41,0.49
40,0.06194464874949801,0.12269974128526773,0.556372658254126,0.9376914929241013,0.38,0.49
16,0.2285826877239019,0.6018272919303422,0.010342005979482094,0.8734589876847502,0.42,0.48
9,0.9446004890731692,0.274219815058549,0.7791152909255834,0.012697398837840712,0.4,0.48
32,0.16008577191302842,0.19899336718480742,0.9553693889636158,0.3423305358803236,0.4,0.48
33,0.3830769434438417,0.7502585096426568,0.9099411586311801,0.09350859228820374,0.35,0.46
5,0.26049100376079604,0.8799085790530219,0.6911513938242,0.08031888456452618,0.36,0.45
28,0.17490248085254878,0.4582694040786357,0.7275729924956005,0.09979786102321386,0.36,0.45
